DHB,Quarter,Maori,Pacific,Asian,European/Other,Total
ADHB,2016Q1,5.6%,8.9%,24.8%,36.7%,26.4%
ADHB,2016Q2,12.1%,12.8%,39.6%,44.5%,36.2%
ADHB,2016Q3,15.9%,25.7%,44.3%,47.8%,41.0%
ADHB,2016Q4,16.9%,19.6%,49.9%,50.0%,44.2%
ADHB,2017Q1,20.9%,22.8%,44.4%,51.1%,41.9%
ADHB,2017Q2,22.6%,25.6%,54.2%,53.8%,46.7%
ADHB,2017Q3,24.4%,27.4%,52.9%,58.3%,48.5%
ADHB,2017Q4,27.7%,29.9%,58.2%,59.9%,51.5%
ADHB,2018Q1,27.3%,27.7%,56.8%,57.1%,50.1%
ADHB,2018Q2,37.4%,31.3%,62.8%,62.0%,54.9%
ADHB,2018Q3,40.2%,31.2%,64.4%,58.9%,54.7%
ADHB,2018Q4,26.4%,27.9%,63.3%,57.6%,53.4%
ADHB,2019Q1,31.3%,38.8%,63.3%,56.9%,53.9%
ADHB,2019Q2,34.8%,48.7%,70.6%,65.9%,62.4%
ADHB,2019Q3,37.1%,41.2%,75.0%,62.0%,61.7%
ADHB,2019Q4,31.5%,41.5%,69.0%,59.8%,58.0%
ADHB,2020Q1,33.7%,44.2%,69.2%,64.1%,59.8%
ADHB,2020Q2,,,,,
ADHB,2020Q3,,,,,
ADHB,2020Q4,,,,,
CMDHB,2016Q1,5.7%,6.3%,14.4%,18.5%,11.8%
CMDHB,2016Q2,9.0%,11.9%,24.5%,22.8%,17.8%
CMDHB,2016Q3,13.6%,16.7%,28.7%,28.4%,22.5%
CMDHB,2016Q4,9.2%,15.4%,31.6%,28.8%,22.8%
CMDHB,2017Q1,9.1%,11.1%,31.2%,28.1%,20.2%
CMDHB,2017Q2,12.6%,21.0%,42.9%,39.1%,29.1%
CMDHB,2017Q3,18.2%,19.5%,48.6%,42.1%,32.3%
CMDHB,2017Q4,16.1%,16.7%,40.4%,34.9%,27.2%
CMDHB,2018Q1,17.1%,24.4%,46.6%,42.7%,32.9%
CMDHB,2018Q2,20.7%,29.2%,56.6%,48.9%,38.9%
CMDHB,2018Q3,21.2%,29.4%,56.8%,45.8%,38.7%
CMDHB,2018Q4,20.0%,28.6%,59.8%,44.9%,40.5%
CMDHB,2019Q1,17.6%,33.6%,54.0%,43.1%,38.5%
CMDHB,2019Q2,24.6%,38.3%,58.1%,48.2%,43.3%
CMDHB,2019Q3,23.3%,35.9%,58.7%,48.2%,43.2%
CMDHB,2019Q4,22.9%,31.7%,58.2%,45.9%,41.0%
CMDHB,2020Q1,19.1%,34.8%,58.7%,47.5%,41.3%
CMDHB,2020Q2,,,,,
CMDHB,2020Q3,,,,,
CMDHB,2020Q4,,,,,
WDHB,2016Q1,8.5%,6.1%,20.0%,20.9%,18.2%
WDHB,2016Q2,11.7%,10.4%,26.4%,29.8%,25.5%
WDHB,2016Q3,11.5%,22.0%,33.3%,36.6%,32.5%
WDHB,2016Q4,19.5%,15.3%,39.8%,36.4%,34.4%
WDHB,2017Q1,11.4%,10.0%,42.8%,34.9%,33.1%
WDHB,2017Q2,20.0%,28.3%,51.4%,43.5%,41.6%
WDHB,2017Q3,24.7%,20.6%,49.1%,44.4%,41.2%
WDHB,2017Q4,19.3%,19.0%,52.1%,46.4%,42.4%
WDHB,2018Q1,28.5%,28.3%,51.4%,51.3%,46.3%
WDHB,2018Q2,24.6%,26.0%,60.3%,53.6%,49.6%
WDHB,2018Q3,33.7%,35.3%,61.0%,53.1%,51.5%
WDHB,2018Q4,29.7%,30.6%,65.3%,53.3%,52.5%
WDHB,2019Q1,24.6%,27.4%,61.3%,49.5%,49.1%
WDHB,2019Q2,43.6%,38.6%,69.0%,55.0%,57.0%
WDHB,2019Q3,35.1%,40.8%,69.0%,53.6%,55.8%
WDHB,2019Q4,28.4%,36.3%,63.7%,52.9%,52.7%
WDHB,2020Q1,31.5%,32.2%,64.3%,54.1%,53.1%
WDHB,2020Q2,,,,,
WDHB,2020Q3,,,,,
WDHB,2020Q4,,,,,
